tahun,day_of_week,tipe_pengguna,total_perjalanan
2019,1,member,24233
2019,1,casual,3766
2019,2,member,48507
2019,2,casual,1892
2019,3,member,58277
2019,3,casual,2728
2019,4,member,57925
2019,4,casual,2489
2019,5,member,63983
2019,5,casual,2920
2019,6,member,59672
2019,6,casual,3375
2019,7,member,29309
2019,7,casual,5993
2020,1,member,35964
2020,1,casual,14886
2020,2,casual,4853
2020,2,member,61923
2020,3,casual,5264
2020,3,member,69697
2020,4,member,63978
2020,4,casual,5921
2020,5,member,61245
2020,5,casual,4891
2020,6,member,55496
2020,6,casual,5160
2020,7,member,30104
2020,7,casual,7480